season,team,head_coach,offensive_coordinator,defensive_coordinator,general_manager
2016,NYJ,Todd Bowles,Chan Gailey,Kacy Rodgers,Mike Maccagnan
2017,NYJ,Todd Bowles,John Morton,Kacy Rodgers,Mike Maccagnan
2018,NYJ,Todd Bowles,Jeremy Bates,Kacy Rodgers,Mike Maccagnan
2019,NYJ,Adam Gase,Dowell Loggains,Gregg Williams,Joe Douglas
2020,NYJ,Adam Gase,Dowell Loggains,Gregg Williams,Joe Douglas
2021,NYJ,Robert Saleh,Mike LaFleur,Jeff Ulbrich,Joe Douglas
2022,NYJ,Robert Saleh,Mike LaFleur,Jeff Ulbrich,Joe Douglas
2023,NYJ,Robert Saleh,Nathaniel Hackett,Jeff Ulbrich,Joe Douglas
2024,NYJ,Robert Saleh,Nathaniel Hackett,Jeff Ulbrich,Joe Douglas
2025,NYJ,Aaron Glenn,Tanner Engstrand,Steve Wilks,Darren Mougey
